,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
the,-0.2719546,0.29078332,0.2405774,0.04704544,-0.2307322,-0.1943261,-0.42323172,0.1425902,-0.23549937,-0.30904776,-0.42451346,-0.39428386,0.49345288,0.37665388,-0.22922593,0.28206536,-0.0828222,0.14936553,-0.08106662,0.1308596,0.018329121,0.023608351,-0.5282188,0.6638558,0.14858758,0.22979571,-0.47427967,-0.05523696,-0.49835488,0.31182465,-0.061170246,0.23076959,-0.27979758,0.11017558,-0.07527753,-0.22477083,0.14969747,0.5385315,0.2555211,0.16144966,-0.10231934,-0.07929486,0.14343643,0.4423553,-0.12954491,0.18797334,-0.071889296,-0.08491256,0.16650155,-0.24251926,0.28396222,-0.37738442,0.030624235,-0.050670594,0.23804168,0.1328746,0.55251664,-0.2476858,0.11993281,0.024653869,0.19411518,0.29177198,-0.08740844,0.2004977,-0.01356917,0.33283755,-0.29961336,-0.11890093,-0.4220509,0.33988142,-0.16549417,-0.30574566,0.48844898,0.13356087,0.24534942,0.19937308,-0.22695188,0.05227242,0.073501304,-0.15422463,-0.1356015,0.20228891,-0.17193468,-0.25357616,-0.058722228,0.18486755,-0.029387653,-0.37932888,-0.0028179414,0.5349951,-0.35192862,0.4070517,0.116139084,0.015271632,0.4668974,-0.23252116,-0.17838363,0.21834055,0.34213653,0.024333036
and,-0.25659332,-0.041404504,-0.51790226,-0.11778439,0.269545,0.08554616,0.14582635,0.023271007,0.23451667,0.08691564,-0.35146788,0.28525865,0.029045591,-0.10659414,0.0117698135,0.1740863,-0.21322954,-0.58529,-0.2987588,0.105375096,0.43789348,-0.2262306,0.20195962,0.0016338524,0.1076743,0.41247794,-0.77413315,0.11154837,-0.32577503,0.20324968,-0.28686956,-0.36666635,-0.6262882,0.19367312,0.11510543,0.24676853,0.1153517,-0.24224843,-0.23909485,0.14502394,0.27634072,-0.30971134,0.31632054,0.03764022,-0.22380477,-0.074728206,-0.23167136,0.2402762,0.34398726,-0.3028431,0.3122308,-0.5481788,-0.20998265,-0.35071608,0.07556647,0.7288181,0.3016905,0.101545975,-0.3114175,0.15827894,0.33894044,-0.06929823,-0.60222155,-0.19479834,-0.10529766,0.2462473,-0.35610166,-0.050242715,-0.30142388,-0.33517426,-0.16026157,-0.7822214,0.54220116,0.21660729,0.10420045,-0.018920192,0.25216722,-0.6830075,0.87430614,0.11419182,0.37769252,0.27305916,-0.2757701,0.5569136,0.04841699,0.3373528,-0.22704601,0.2158177,-0.2125089,-0.3288784,-0.022629224,-0.25015125,-0.2274714,-0.16907153,0.1859365,-0.5855946,-0.058709826,0.3424387,-0.5754848,0.10464762
is,0.14377117,0.32216856,-0.33272797,-0.21917693,-0.11224637,-0.11743007,-0.034820747,-0.09527718,-0.75119805,0.21643563,-0.38248104,0.042418238,-0.05902792,0.48074076,0.24782363,0.17603835,-0.33959955,-0.022283958,-0.34151393,0.33981586,0.11598783,0.09876018,-0.33380064,0.130645,0.10498094,0.069470316,-0.48060736,0.15609205,-0.3941717,-0.57174987,-0.31948733,0.23647119,-0.38399705,0.35122567,-0.6450451,0.055143088,0.31650943,0.3397371,0.17113137,0.31011438,-0.31668776,0.10798952,-0.4031124,0.2184401,-0.123142764,-0.1266773,0.07988433,0.23376803,0.7869183,-0.7960279,0.046687577,0.17280796,0.089655474,-0.3976974,-0.0051749875,0.14158471,0.7791577,-0.28155413,-0.15656151,0.09491579,-0.44949985,-0.3184276,-0.5506412,0.4189123,-0.17489685,0.10787436,-0.18412481,-0.37331387,-0.21094328,0.35700834,-0.17428745,-0.09629403,-0.1640061,0.4782042,0.22226803,-0.31375787,0.36343578,-0.073912986,0.1591629,-0.13482583,-0.23077813,0.4253086,0.08535593,-0.086623065,0.26323313,0.3823987,0.06846278,0.1822086,-0.025473671,0.47519815,-0.4190621,0.28988338,0.13922423,-0.7872716,0.091302805,0.06448381,0.69692236,0.14045557,-0.35042846,-0.39390743
of,-0.099828415,-0.05028881,0.24852842,0.034712996,-0.56649965,0.13126062,-0.18537766,-0.067231104,-0.36931366,0.19821596,0.08352613,0.397103,-0.015149846,0.085018635,-0.11904921,0.101358935,-0.041421164,-0.34302992,-0.3806218,0.4961325,0.2105906,-0.25560832,-0.24561822,0.96967626,0.10980704,-0.52307653,-0.3482639,-0.4618324,-0.24489936,0.49469113,-0.5290622,-0.5367855,0.17677972,0.44523025,-0.0009312157,-0.011584308,0.18142313,0.3303953,-0.3362594,-0.0058227875,-0.32998958,0.21465257,0.87805235,0.17377798,0.0069123297,-0.017230665,0.14131232,0.295979,0.18968315,0.106944665,0.18164633,-0.42870396,-0.033466317,-0.2650818,0.5170172,0.19849327,-0.6569048,0.36257938,-0.41620982,0.35289317,0.20766684,-0.059869066,-0.4903725,0.107639715,0.48617068,0.08261568,-0.030638348,0.05948996,-0.48978606,0.65432674,-0.7654042,-0.2518399,-0.020717755,-0.2874151,-0.10654284,0.042982765,0.4701905,0.23890455,-0.24008693,0.038863435,-0.47514495,0.009547845,0.5277488,0.052588623,-0.42028663,0.3497303,-0.19504571,-0.092220254,0.30218142,-0.40980873,-1.0571965,0.07352209,-0.1898584,-0.37233362,0.5124019,0.69276905,0.22483501,0.0360812,-0.11992562,0.15856467
to,0.3610621,0.53661114,0.0663516,0.531147,0.124878444,0.26179278,0.17603111,-0.25215793,0.47117296,-0.53498286,-0.7359333,0.23251209,0.272511,0.07138783,0.24093339,0.25267315,0.19362041,-0.5259063,-0.06613069,-0.0147400275,0.48723763,0.090224214,0.28513288,0.0064576943,0.20766063,-0.5207489,-0.8192462,0.46573195,-0.6554784,0.21569093,-0.39016274,-0.2466487,0.5545749,0.47139424,-0.22471064,-0.43490726,0.15793043,0.7498111,-0.0958884,0.21750431,0.196373,-0.37645513,0.023079528,-0.42689514,0.06274368,0.049227875,-0.05023568,0.1194095,0.346469,-0.096589394,0.25025678,-0.25178736,-0.24516645,-0.23647052,0.24214801,-0.04673067,-0.52372956,0.09411264,0.29794204,0.57743496,-0.0338923,-0.42327157,-0.18785565,-0.039790355,0.2366274,0.20698425,-0.049510997,-0.3616495,-0.2639698,0.19886777,-0.031072814,-0.59706885,-0.3478998,-0.12669931,0.11055026,-0.19287279,0.16519056,-0.15988612,0.061690222,0.09315272,-0.23883928,0.18424463,0.15195188,0.60029453,0.0644119,0.26509437,0.86666495,-0.10467167,-0.3279067,0.46545234,-0.1850854,0.39189103,0.08878947,0.33161536,-0.06063224,-0.17078725,-0.9158407,-0.003943829,0.54296285,-0.12485368
it,-0.059930045,-0.21897648,0.32980376,0.5169804,-0.16797881,0.2144737,0.07545498,0.37717384,0.7466809,-0.3642363,0.017784737,0.38900256,0.12079233,0.29796833,0.69241416,-0.90510565,-0.22730714,-0.32718793,-0.02941438,-0.40421706,0.507204,0.11932053,-0.013646195,0.66577697,0.28618288,0.14296326,-0.52386117,-0.086428486,0.26629078,0.29717672,-0.031896487,0.011942304,0.16157697,-0.23969132,0.10174276,0.36450127,-0.10681577,-0.22116032,0.22676626,-0.4634664,0.28221738,0.45671883,0.21532848,-0.05084406,0.54834473,-0.19255191,0.07228207,-0.4639257,-0.019394057,-0.33221328,0.09335308,-0.44659647,0.1731957,-0.1026043,-0.041031796,0.1971904,0.31687883,-0.056090523,0.020321583,0.7666118,0.55781084,-0.6450357,-0.6401422,-0.17793024,0.65274525,0.17785718,-0.08173809,-0.6679427,-0.2741514,0.098837815,-0.4034047,0.31187418,-0.22393817,-0.6859339,-0.26989305,-0.2415661,0.3569501,-0.6506621,0.16106261,-0.011700174,-0.6098179,0.36166918,-0.20879863,-0.008591018,-0.515877,-0.1645566,-0.3715956,-0.14793138,0.16929516,0.727952,-0.06027341,0.53758246,-0.17595969,-0.6532181,0.19641867,-0.4165517,-0.32617444,0.25580198,0.32325286,-0.0403444
br,0.3323973,0.6416768,0.10058062,0.11955748,0.0022527163,-0.08851973,0.40077683,-0.38477403,-0.080789186,0.27883852,-0.15761045,-0.12894055,-0.1532283,0.30963573,0.7979958,-0.13452064,-0.4172971,0.13490151,-0.3607363,0.07673393,-0.121043,0.09715526,-0.008011016,-0.06906881,0.17622139,0.030304303,0.01798386,0.016268546,0.06526951,-0.18291587,0.28730023,0.050077576,-0.05812246,0.24032281,0.70124143,-0.1000537,-0.12704454,-0.3593931,-0.5014101,0.45092854,0.064931184,-0.3008361,-0.25005364,-0.042493045,0.12911113,-0.073409446,0.0015631934,0.09722707,0.12461287,0.15522836,0.5858175,-0.06735289,-0.12376882,0.38125432,0.0061925836,0.16146532,0.11724219,-0.25325504,-0.20743766,0.10966389,0.053496655,0.08594805,0.17980815,-0.19008294,-0.10766094,0.42364037,0.24069126,-0.14424746,-0.14143962,-0.010542891,0.10972282,-0.22144628,-0.20647351,-0.20897248,0.3348626,0.2624366,0.2312393,-0.22047769,0.27779323,-0.29899287,-0.73454803,-0.19960019,-0.02856531,-0.23590994,0.30183405,-0.2048747,-0.2801005,-0.128061,0.21923296,-0.3549637,-0.5849349,0.43376988,0.21645413,-0.2942496,-0.1793232,-0.091279075,0.15390894,0.50111157,-0.1388544,-0.15664887
in,-0.5258035,0.16435198,0.08056745,-0.1504218,-0.3965332,0.5625444,-0.4356029,0.5514015,0.008127742,0.2865781,0.46443194,-0.022510558,0.6257183,-0.048252296,0.21133116,0.67913103,-0.29553014,-0.35790974,-0.56471074,-0.49168313,-0.39773664,0.7488496,0.16496217,0.3368968,0.56539893,-0.050869294,-0.3979086,-0.36004207,-0.2680102,-0.22879884,-0.55483705,-0.23556784,0.04954041,0.4212225,-0.05112448,-0.2047589,0.54139215,-0.025413116,0.23976748,-0.061329074,0.7358742,-0.14223047,0.21152173,-0.04963445,-0.20403874,-0.63402444,0.25748488,0.7588871,0.50145596,-0.10788803,0.020914327,-0.2988914,-0.20289873,0.49374947,0.65787476,0.46320167,0.5712923,0.36980984,-0.07480258,0.2417455,-0.6267466,0.38019675,-0.25321454,0.3991915,-0.36598888,0.20771654,0.21000773,-0.9819114,-0.012842625,-0.019109355,-0.19459172,-0.18794748,-0.45170054,-0.25972348,0.19757825,0.13300413,0.61195326,-0.32340714,-0.2651512,0.67727154,-0.3019195,0.104845546,-0.9023143,0.48493737,-0.29369718,-0.20172074,-0.5153654,-0.35048342,-0.19856219,0.14996156,-0.34576446,-0.007896216,-0.37841716,0.2730742,0.2794007,0.1081138,-0.23725031,0.068180986,-0.02615071,-0.09480083
with,0.6896692,-0.015114721,0.0839995,0.4940599,-0.17489305,0.5695171,-0.012583365,-0.046183135,-0.14571482,0.17197224,-0.63508385,0.26381874,0.96664906,0.1687628,0.40382665,0.15059249,0.080754615,-0.70871085,0.1594257,0.09480111,-0.07208518,-0.06649937,0.15747613,0.57314545,-0.09489791,-0.1149873,-0.010281595,0.038893275,0.28214267,-0.5958515,-0.16834776,-0.4207953,-0.5703232,-0.3392287,-0.096123345,-0.074098386,0.020227214,-0.20235293,-0.20469388,0.48845777,0.5096936,0.13832812,0.03263806,-0.68584245,-0.5117849,-1.1069672,-0.94786555,0.42582497,0.45044768,0.2026086,0.20784935,-0.24314848,0.6325481,-0.23066592,-0.06911134,0.04539203,-0.27175462,-0.2944928,-0.027348468,0.22459237,0.34069046,0.8950902,-0.57369643,-0.34700128,0.1827302,-0.202698,-0.48058468,0.19662237,-0.22696845,-0.18937393,-0.44215152,-0.059419025,-0.3342334,-0.8033728,0.062369417,0.115521714,-0.082988344,0.4537378,0.08930242,-0.27490345,-0.10788553,0.36020884,-0.6267609,-0.00950211,0.5199153,0.14741178,-0.08830995,-0.25011966,-0.54309195,0.28396624,-0.45972878,-0.054876655,0.5151281,-0.39945275,0.5992677,-0.5147357,0.19397442,0.07946558,0.19561525,-0.19182774
this,-0.5039329,-0.20682625,0.24994534,0.27735725,0.43240967,0.035282657,-0.31897837,-0.44682425,-0.057549518,-0.17504497,-1.3830562,0.27337113,0.16169427,0.26380527,0.53964496,-0.058873713,0.4559598,0.24490303,-0.37446114,-0.044101913,-0.0013789961,0.023345185,-0.2962156,0.16957146,-0.20245497,0.45521253,-0.08551348,0.012274459,-0.22560145,0.080555655,0.06762183,0.32502136,0.020528702,0.14657642,-0.18677573,0.3781239,0.10978914,-0.2660645,0.39614573,0.0030673167,-0.13168155,-0.3004255,0.29740143,-0.176969,-0.46560535,0.2620629,0.63717514,0.351343,0.6832272,0.18681613,-0.0070941886,-0.7898894,0.027663348,-0.4678277,0.9251368,0.9137289,-0.1061823,0.7653084,0.009793567,0.0073580598,-0.8385699,0.16891503,-0.48529184,-0.041878503,0.7186686,-0.0053805476,-0.02501176,-0.14627874,-0.12683474,0.26508108,-0.3608591,-0.64205396,-0.22646183,-0.40547302,-0.48270455,-0.39978588,0.16527522,0.06441048,-0.5079676,-0.63429934,-0.006719716,0.19646673,0.069316596,0.5617317,0.5607027,-0.2239058,-0.47831792,-0.5193804,0.62952167,0.043266207,0.23350708,0.39183632,-0.4980297,-0.6275758,0.92250717,-0.42502007,0.15111229,-0.39280123,0.5199888,-0.21983843
